year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n
2021,7,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,60584.3818,90
2021,7,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,170509.2981,365
2021,7,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,163324.3617,344
2021,7,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,174958.9229,422
2021,7,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,77851.2641,165
2021,7,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,117585.4275,262
2021,7,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,144327.886,328
2021,7,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,121378.4494,1621
2021,7,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,40502.7614,130
2021,7,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,247057.3713,611
2021,8,7501,NCR,NCR,Caloocan City,Caloocan City,486422.1325,150
2021,8,NA,NCR,NCR,City of Manila,City of Manila,900107.138,222
2021,8,7601,NCR,NCR,Las Pinas City,Las Piñas City,179350.759,127
2021,8,7602,NCR,NCR,Makati City,Makati City,719728.4983,307
2021,8,7502,NCR,NCR,Malabon City,Malabon City,102213.3164,97
2021,8,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,202726.0094,105
2021,8,7402,NCR,NCR,Marikina City,Marikina City,146946.5054,122
2021,8,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,272494.7364,187
2021,8,7503,NCR,NCR,Navotas City,Navotas City,88199.0944,157
2021,8,7604,NCR,NCR,Paranaque City,Parañaque City,277319.9905,135
