Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region,Household_Population,Units_per_1k
pasay city,120340.0956059084,114323.090825613,0.95,2024,Pasay City,NCR,464151.7799301037,259.2688443940263
pasay city,120695.60519057565,114660.82493104684,0.95,2025,Pasay City,NCR,465914.7520788912,259.05083419667903
pasay city,121052.16502424049,114999.55677302844,0.95,2026,Pasay City,NCR,467684.4204657019,258.8330073165607
pasay city,121409.77820955626,115339.28929907845,0.95,2027,Pasay City,NCR,469460.8105246328,258.61536359952635
pasay city,121768.44785834198,115680.02546542489,0.95,2028,Pasay City,NCR,471243.9477863851,258.3979028915606
pasay city,122128.17709160982,116021.76823702932,0.95,2029,Pasay City,NCR,473033.8578786337,258.1806250387773
pasig,196744.0,196744.0,0.95,2020,Pasig,NCR,801439.0,245.48842769069137
pasig,196744.0,186906.8,0.95,2021,Pasig,NCR,801439.0,245.48842769069137
pasig,202920.52655065863,192774.5002231257,0.95,2022,Pasig,NCR,833496.5600000002,243.4569454619688
pasig,206278.134920358,195964.22817434004,0.95,2023,Pasig,NCR,851228.3402068233,242.3299662112266
pasig,206278.134920358,195964.22817434004,0.95,2024,Pasig,NCR,851228.3402068233,242.3299662112266
pasig,206887.5232850774,196543.1471208235,0.95,2025,Pasig,NCR,854461.5322809101,242.1261993302487
pasig,207498.7119093308,197123.77631386425,0.95,2026,Pasig,NCR,857707.0048800848,241.92260378978833
pasig,208111.70611145813,197706.1208058852,0.95,2027,Pasig,NCR,860964.8046490554,241.71917944577092
pasig,208726.51122551048,198290.18566423492,0.95,2028,Pasig,NCR,864234.9784096965,241.5159261542435
pasig,209343.1326012972,198875.97597123237,0.95,2029,Pasig,NCR,867517.5731617273,241.31284377137376
pateros,14103.0,14103.0,0.95,2020,Pateros,NCR,65064.0,216.75580966433054
pateros,14103.0,13397.85,0.95,2021,Pateros,NCR,65064.0,216.75580966433054
pateros,14545.745669214508,13818.458385753782,0.95,2022,Pateros,NCR,67666.56,214.96209751485085
pateros,14786.425694210791,14047.104409500253,0.95,2023,Pateros,NCR,69106.09631826845,213.96702291085634
pateros,14786.425694210791,14047.104409500253,0.95,2024,Pateros,NCR,69106.09631826845,213.96702291085634
pateros,14830.107860414786,14088.602467394046,0.95,2025,Pateros,NCR,69368.57968769319,213.78710544719175
pateros,14873.919072791508,14130.223119151931,0.95,2026,Pateros,NCR,69632.06003890233,213.60733926989502
pateros,14917.85971257011,14171.966726941604,0.95,2027,Pateros,NCR,69896.54115869847,213.42772425175457
pateros,14961.930162105957,14213.833654000657,0.95,2028,Pateros,NCR,70162.02684826731,213.24826026566603
pateros,15006.130804883982,14255.824264639785,0.95,2029,Pateros,NCR,70428.52092323263,213.06894718463172
quezon,463376.0,463376.0,0.95,2020,Quezon *,Region IV-A (Calabarzon),1945444.0,238.18521633107918
quezon,480223.6783802137,456212.494461203,0.95,2021,Quezon *,Region IV-A (Calabarzon),2023261.76,237.35123545270469
quezon,504255.9482319775,479043.15082037856,0.95,2022,Quezon *,Region IV-A (Calabarzon),2104192.2304,239.64347978612207
quezon,520948.9361466467,494901.4893393144,0.95,2023,Quezon *,Region IV-A (Calabarzon),2188359.9196160003,238.05450441537036
quezon,523932.294148295,497735.67944088025,0.95,2024,Quezon *,Region IV-A (Calabarzon),2204472.809441544,237.66784144687276
quezon,534077.9298478555,507374.03335546266,0.95,2025,Quezon *,Region IV-A (Calabarzon),2259357.764331386,236.3848427545983
quezon,544419.5507333832,517198.573196714,0.95,2026,Quezon *,Region IV-A (Calabarzon),2315606.589573399,235.10882771916832
quezon,554960.9334188304,527212.8867478889,0.95,2027,Quezon *,Region IV-A (Calabarzon),2373253.1120002377,233.8397580151471
quezon,565705.9271141589,537420.630758451,0.95,2028,Quezon *,Region IV-A (Calabarzon),2432331.995810487,232.57759552912424
quezon,576658.4550173705,547825.5322665019,0.95,2029,Quezon *,Region IV-A (Calabarzon),2492878.763257311,231.32230235853177
quezon city,697332.0,697332.0,0.95,2020,Quezon City,NCR,2950493.0,236.34423128609356
quezon city,697332.0,662465.4,0.95,2021,Quezon City,NCR,2950493.0,236.34423128609356
