Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
lucena,Lucena,Region IV-A (Calabarzon),2029,33156.35867182555,FamilyIncome_Total,85731.61378879598,386745.9995971598,,
makati,Makati,NCR,2024,164347.09,FamilyIncome_Total,197959.90621380784,830203.9192850288,78329183.09520346,94.34932945469652
makati,Makati,NCR,2025,171730.87805797582,FamilyIncome_Total,198711.81069058072,864220.7902044756,78659755.44053727,91.01812445628192
makati,Makati,NCR,2026,179446.40503560545,FamilyIncome_Total,199466.57110092608,899631.4723072527,78991722.89904827,87.80453477962595
makati,Makati,NCR,2027,187508.575303108,FamilyIncome_Total,200224.19829244097,936493.0757731843,79325091.35852729,84.70440776407789
makati,Makati,NCR,2028,195932.9628544233,FamilyIncome_Total,200984.703153924,974865.0508211473,79659866.7316131,81.71373736756087
makati,Makati,NCR,2029,204735.84139208595,FamilyIncome_Total,201748.0966155327,1014809.2835901541,79996054.95589781,78.82865898988504
malabon,Malabon,NCR,2024,34270.92,FamilyIncome_Total,100095.71534381436,342381.4883812392,,
malabon,Malabon,NCR,2025,35810.644310493386,FamilyIncome_Total,100475.90554450838,356410.2668836375,,
malabon,Malabon,NCR,2026,37419.54537353129,FamilyIncome_Total,100857.53980889884,371013.86217066634,,
malabon,Malabon,NCR,2027,39100.73116309385,FamilyIncome_Total,101240.6236219246,386215.82685140846,,
malabon,Malabon,NCR,2028,40857.44928825276,FamilyIncome_Total,101625.16248935754,402040.6785822504,,
malabon,Malabon,NCR,2029,42693.09326670077,FamilyIncome_Total,102011.16193788216,418513.93960886315,,
mandaluyong,Mandaluyong,NCR,2024,93875.35,FamilyIncome_Total,124219.75883448248,755719.9505199885,28620278.438632037,37.871540137241674
mandaluyong,Mandaluyong,NCR,2025,98092.98286632152,FamilyIncome_Total,124691.57858100436,786684.9067324672,28741064.48788862,36.53440436179967
mandaluyong,Mandaluyong,NCR,2026,102500.10559334652,FamilyIncome_Total,125165.19042465543,818918.6246238933,28862360.29003687,35.244479026585275
mandaluyong,Mandaluyong,NCR,2027,107105.2315838426,FamilyIncome_Total,125640.60117229834,852473.0905813074,28984167.996384967,34.00009726596819
mandaluyong,Mandaluyong,NCR,2028,111917.25673083708,FamilyIncome_Total,126117.81765664964,887402.4210879308,29106489.767320167,32.79965106657746
mandaluyong,Mandaluyong,NCR,2029,116945.47660215072,FamilyIncome_Total,126596.84673637876,923762.9500020191,29229327.772347275,31.641589189394736
manila,Manila,NCR,2024,246232.67,FamilyIncome_Total,516503.9176334028,476729.530200326,13054863.849200577,27.384214784670053
manila,Manila,NCR,2025,257295.4143919421,FamilyIncome_Total,518465.73715214833,496263.10082750267,13109959.240089549,26.417356475283203
manila,Manila,NCR,2026,268855.18589844566,FamilyIncome_Total,520435.0081842175,516597.0422252598,13165287.14984138,25.484635167734304
manila,Manila,NCR,2027,280934.314959762,FamilyIncome_Total,522411.7590324443,537764.1488776569,13220848.559754549,24.584845582114724
manila,Manila,NCR,2028,293556.1352784249,FamilyIncome_Total,524396.018107163,559798.5589937015,13276644.45526885,23.71682499350312
