Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,5,6681,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,6,11404,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,7,6017,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,8,6163,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,9,13,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,10,65053,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,11,2,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,12,37,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,1,16362,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,2,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,3,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,4,2277,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,5,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,6,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,7,2010,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,8,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,9,4,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,10,10644,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,11,7086,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,12,2501,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,1,147116,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,2,277697,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,3,32529,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,4,58523,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,5,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,6,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,7,2038,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,8,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,9,15,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,10,40586,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,11,0,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,12,0,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,1,91739,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,2,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,3,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,4,24526,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,5,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,6,755929,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,7,15911,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,8,577642,TRUE,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,9,2,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,10,19508,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,11,29,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,12,16,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Angeles City,2024,1,345088,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,2,318218,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,3,399423,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,4,372992,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,5,345661,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,6,355028,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,7,360247,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,8,388801,TRUE,,
Region III (Central Luzon),Pampanga,Angeles City,2024,9,286396,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Angeles City,2024,10,358330,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Angeles City,2024,11,380126,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Angeles City,2024,12,345457,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Mabalacat City,2024,1,141405,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,2,79424,TRUE,,
