Region,Province,City,EMP_w_year,months_observed,Year,projection_reliance
Region IV-A (CALABARZON),Laguna,Cabuyao City,560038.4541626672,12,2026,time_series
Region IV-A (CALABARZON),Laguna,Cabuyao City,590786.25,12,2027,time_series
Region IV-A (CALABARZON),Laguna,Cabuyao City,590786.25,12,2028,time_series
Region IV-A (CALABARZON),Laguna,Cabuyao City,590786.25,12,2029,time_series
Region IV-A (CALABARZON),Laguna,Calamba City,236954.875,8,2024,observed
Region IV-A (CALABARZON),Laguna,Calamba City,326393.49963989283,12,2025,time_series
Region IV-A (CALABARZON),Laguna,Calamba City,366552.66874752886,12,2026,time_series
Region IV-A (CALABARZON),Laguna,Calamba City,402753.83012594323,12,2027,time_series
Region IV-A (CALABARZON),Laguna,Calamba City,422377.7129347802,12,2028,time_series
Region IV-A (CALABARZON),Laguna,Calamba City,436453.5780025672,12,2029,time_series
Region IV-A (CALABARZON),Laguna,San Pablo City,109403.14285714286,8,2024,observed
Region IV-A (CALABARZON),Laguna,San Pablo City,52942.58953914801,12,2025,time_series
Region IV-A (CALABARZON),Laguna,San Pablo City,51105.57062520334,12,2026,time_series
Region IV-A (CALABARZON),Laguna,San Pablo City,49332.29318139768,12,2027,time_series
Region IV-A (CALABARZON),Laguna,San Pablo City,47620.545485802264,12,2028,time_series
Region IV-A (CALABARZON),Laguna,San Pablo City,45968.192559523646,12,2029,time_series
Region IV-A (CALABARZON),Laguna,San Pedro City,44473.75,8,2024,observed
Region IV-A (CALABARZON),Laguna,San Pedro City,4426.067071109398,12,2025,time_series
Region IV-A (CALABARZON),Laguna,San Pedro City,3902.25,12,2026,time_series
Region IV-A (CALABARZON),Laguna,San Pedro City,3902.25,12,2027,time_series
Region IV-A (CALABARZON),Laguna,San Pedro City,3902.25,12,2028,time_series
Region IV-A (CALABARZON),Laguna,San Pedro City,3902.25,12,2029,time_series
Region IV-A (CALABARZON),Laguna,Santa Rosa City,235949.875,8,2024,observed
Region IV-A (CALABARZON),Laguna,Santa Rosa City,267285.287797732,12,2025,time_series
Region IV-A (CALABARZON),Laguna,Santa Rosa City,322211.1083037635,12,2026,time_series
Region IV-A (CALABARZON),Laguna,Santa Rosa City,384637.0515296056,12,2027,time_series
Region IV-A (CALABARZON),Laguna,Santa Rosa City,441410.5634809071,12,2028,time_series
Region IV-A (CALABARZON),Laguna,Santa Rosa City,477192.10800223955,12,2029,time_series
Region IV-A (CALABARZON),Quezon,Lucena City,123763.125,8,2024,observed
Region IV-A (CALABARZON),Quezon,Lucena City,128696.13012105956,12,2025,time_series
Region IV-A (CALABARZON),Quezon,Lucena City,130296.81498128024,12,2026,time_series
Region IV-A (CALABARZON),Quezon,Lucena City,131917.40869205713,12,2027,time_series
Region IV-A (CALABARZON),Quezon,Lucena City,133558.15887385583,12,2028,time_series
Region IV-A (CALABARZON),Quezon,Lucena City,135219.31622697305,12,2029,time_series
Region IV-A (CALABARZON),Quezon,Tayabas City,66635.875,8,2024,observed
Region IV-A (CALABARZON),Quezon,Tayabas City,8599.256678034866,12,2025,time_series
Region IV-A (CALABARZON),Quezon,Tayabas City,5086.286872324416,12,2026,time_series
Region IV-A (CALABARZON),Quezon,Tayabas City,3083.3978902987515,12,2027,time_series
Region IV-A (CALABARZON),Quezon,Tayabas City,2000.8994718607082,12,2028,time_series
Region IV-A (CALABARZON),Quezon,Tayabas City,1473.6313841325425,12,2029,time_series
Region IV-A (CALABARZON),Rizal,Antipolo City,300976.125,8,2024,observed
Region IV-A (CALABARZON),Rizal,Antipolo City,50538.076335667974,12,2025,time_series
Region IV-A (CALABARZON),Rizal,Antipolo City,43765.59686115725,12,2026,time_series
Region IV-A (CALABARZON),Rizal,Antipolo City,43518.0,12,2027,time_series
Region IV-A (CALABARZON),Rizal,Antipolo City,43518.0,12,2028,time_series
Region IV-A (CALABARZON),Rizal,Antipolo City,43518.0,12,2029,time_series
