Region,Area_display,Area_slug,Date,RAINFALL_mm,TMAX_C,TMIN_C,TAVG,RH_pct,WIND_SPEED,WIND_DIRECTION,wet_day_1mm,heavy_rain_50mm
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-15,17.0,34.0,24.5,29.25,82.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-17,12.6,34.0,24.1,29.05,84.0,1.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-05,0.0,35.4,24.9,30.15,69.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-24,0.0,35.3,25.0,30.15,71.0,2.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-14,0.0,35.2,24.7,29.950000000000003,73.0,1.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-15,0.0,34.8,24.5,29.65,74.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-16,0.0,34.5,23.0,28.75,67.0,3.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-17,0.0,36.0,25.0,30.5,70.0,3.0,40.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-18,0.6,33.5,24.5,29.0,74.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-19,0.2,31.5,23.8,27.65,80.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-20,2.4,35.7,24.1,29.9,76.0,2.0,70.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-21,0.1,28.1,23.2,25.65,92.0,1.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-22,0.0,34.2,24.7,29.450000000000003,71.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-23,1.0,29.8,23.2,26.5,81.0,2.0,40.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-25,0.0,36.5,24.0,30.25,72.0,2.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-18,9.2,34.4,24.7,29.55,82.0,1.0,110.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-26,15.2,36.5,24.5,30.5,72.0,2.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-27,0.0,34.9,24.8,29.85,80.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-28,0.0,35.2,24.5,29.85,67.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-29,0.0,35.2,24.8,30.0,65.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-30,0.0,34.6,24.2,29.4,67.0,5.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-31,0.0,34.6,25.2,29.9,60.0,3.0,360.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-01,0.0,31.8,24.7,28.25,63.0,2.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-02,0.0,34.1,24.0,29.05,72.0,2.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-03,0.0,36.0,25.0,30.5,73.0,1.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-04,2.3,36.4,25.2,30.8,70.0,2.0,70.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-13,0.0,34.7,24.6,29.65,74.0,1.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-12,2.9,35.0,24.8,29.9,75.0,3.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-11,0.0,34.6,24.4,29.5,77.0,1.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-10-10,0.2,34.5,25.0,29.75,78.0,2.0,90.0,0,0
