Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
Pasig,Province,NCR,3rd Decile,6331.4,6336.98,8616.31,0.088132167,35.96871065
Pasig,Province,NCR,4th Decile,6688.45,7181.14,9190.88,7.366280678,27.98636428
Pasig,Province,NCR,5th Decile,7737.43,8036.58,11088.94,3.866270842,37.98083264
Pasig,Province,NCR,6th Decile,8222.33,8477.0,12045.15,3.097297238,42.09213165
Pasig,Province,NCR,7th Decile,9023.06,9076.68,13856.16,0.594255164,52.65669826
Pasig,Province,NCR,8th Decile,10888.25,11063.25,13573.81,1.607237159,22.69278919
Pasig,Province,NCR,9th Decile,11771.78,11258.18,16769.11,-4.362976542,48.95045203
Pasig,Province,NCR,All Income Groups,88774.66,91036.89,130765.02,2.548283485,43.63959489
Pateros,Province,NCR,10th Decile,1166.37,790.28,1319.84,-32.24448503,67.00916131
Pateros,Province,NCR,1st Decile,279.47,275.72,346.14,-1.341825598,25.54040331
Pateros,Province,NCR,2nd Decile,347.03,378.41,445.65,9.042445898,17.76908644
Pateros,Province,NCR,3rd Decile,442.95,369.94,485.88,-16.48267299,31.34021733
Pateros,Province,NCR,4th Decile,528.02,436.16,593.5,-17.39706829,36.07391783
Pateros,Province,NCR,5th Decile,585.76,484.67,652.19,-17.25792133,34.56372377
Pateros,Province,NCR,6th Decile,569.51,507.65,714.14,-10.86196906,40.67566237
Pateros,Province,NCR,7th Decile,643.79,601.87,726.48,-6.511440066,20.70380647
Pateros,Province,NCR,8th Decile,769.43,621.12,847.15,-19.2753077,36.39071355
