Area,Year,IncomeGroup,Value
City of Las Piñas,2021,5th Decile,5623.53
City of Las Piñas,2021,6th Decile,6565.61
City of Las Piñas,2021,7th Decile,6798.1
City of Las Piñas,2021,8th Decile,7748.51
City of Las Piñas,2021,9th Decile,8774.5
City of Las Piñas,2021,All Income Groups,65582.27
City of Las Piñas,2023,10th Decile,17973.95
City of Las Piñas,2023,1st Decile,4905.24
City of Las Piñas,2023,2nd Decile,5972.29
City of Las Piñas,2023,3rd Decile,6668.52
City of Las Piñas,2023,4th Decile,7403.72
City of Las Piñas,2023,5th Decile,9040.78
City of Las Piñas,2023,6th Decile,9110.02
City of Las Piñas,2023,7th Decile,9793.41
City of Las Piñas,2023,8th Decile,11876.12
City of Las Piñas,2023,9th Decile,14072.9
City of Las Piñas,2023,All Income Groups,96816.95
City of Muntinlupa,2018,10th Decile,16774.77
City of Muntinlupa,2018,1st Decile,3094.77
City of Muntinlupa,2018,2nd Decile,3721.81
City of Muntinlupa,2018,3rd Decile,4188.18
City of Muntinlupa,2018,4th Decile,4411.52
City of Muntinlupa,2018,5th Decile,5038.91
City of Muntinlupa,2018,6th Decile,5278.37
City of Muntinlupa,2018,7th Decile,6383.3
City of Muntinlupa,2018,8th Decile,6691.37
City of Muntinlupa,2018,9th Decile,8691.8
City of Muntinlupa,2018,All Income Groups,64274.79
City of Muntinlupa,2021,10th Decile,10939.21
City of Muntinlupa,2021,1st Decile,3222.96
City of Muntinlupa,2021,2nd Decile,3875.35
City of Muntinlupa,2021,3rd Decile,4363.52
City of Muntinlupa,2021,4th Decile,4461.54
City of Muntinlupa,2021,5th Decile,5302.92
City of Muntinlupa,2021,6th Decile,5836.26
City of Muntinlupa,2021,7th Decile,6395.2
City of Muntinlupa,2021,8th Decile,7899.76
City of Muntinlupa,2021,9th Decile,8094.04
City of Muntinlupa,2021,All Income Groups,60390.76
City of Muntinlupa,2023,10th Decile,14718.31
City of Muntinlupa,2023,1st Decile,5055.53
City of Muntinlupa,2023,2nd Decile,5737.72
City of Muntinlupa,2023,3rd Decile,6193.05
City of Muntinlupa,2023,4th Decile,6818.25
City of Muntinlupa,2023,5th Decile,6806.8
City of Muntinlupa,2023,6th Decile,8057.82
City of Muntinlupa,2023,7th Decile,8179.7
City of Muntinlupa,2023,8th Decile,8543.02
City of Muntinlupa,2023,9th Decile,10218.37
City of Muntinlupa,2023,All Income Groups,80328.59
City of Parañaque,2018,10th Decile,19858.8
City of Parañaque,2018,1st Decile,4137.54
City of Parañaque,2018,2nd Decile,5361.83
City of Parañaque,2018,3rd Decile,6406.64
City of Parañaque,2018,4th Decile,6762.74
City of Parañaque,2018,5th Decile,8068.85
City of Parañaque,2018,6th Decile,8061.08
City of Parañaque,2018,7th Decile,9618.36
City of Parañaque,2018,8th Decile,10781.51
City of Parañaque,2018,9th Decile,14856.41
City of Parañaque,2018,All Income Groups,93913.75
City of Parañaque,2021,10th Decile,24354.55
City of Parañaque,2021,1st Decile,4193.32
City of Parañaque,2021,2nd Decile,5262.76
City of Parañaque,2021,3rd Decile,6056.41
City of Parañaque,2021,4th Decile,6152.67
City of Parañaque,2021,5th Decile,7314.07
City of Parañaque,2021,6th Decile,7372.59
City of Parañaque,2021,7th Decile,9172.76
City of Parañaque,2021,8th Decile,10429.75
City of Parañaque,2021,9th Decile,12911.46
City of Parañaque,2021,All Income Groups,93220.34
City of Parañaque,2023,10th Decile,26851.75
City of Parañaque,2023,1st Decile,5989.89
City of Parañaque,2023,2nd Decile,7156.42
City of Parañaque,2023,3rd Decile,7495.51
City of Parañaque,2023,4th Decile,9020.57
City of Parañaque,2023,5th Decile,9714.27
City of Parañaque,2023,6th Decile,9982.91
City of Parañaque,2023,7th Decile,11765.98
City of Parañaque,2023,8th Decile,12005.04
City of Parañaque,2023,9th Decile,14393.33
City of Parañaque,2023,All Income Groups,114375.68
Pasay City,2018,10th Decile,8153.32
Pasay City,2018,1st Decile,2444.21
Pasay City,2018,2nd Decile,3082.72
Pasay City,2018,3rd Decile,3527.71
Pasay City,2018,4th Decile,4263.91
