Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
Not Reported,Cordillera Administrative Region (Car),City Of Baguio,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),City Of Baguio,2020,105.0,105.0,315.0,105.0,22.0,53.0,14.0,12.0,0.0,0.0,4.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),City Of Baguio,2020,8.0,8.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Single House,Cordillera Administrative Region (Car),City Of Baguio,2020,79131.0,80788.0,302766.0,79131.0,25801.0,35096.0,14212.0,3563.0,0.0,0.0,459.0,0.0
All Types Of Building,Cordillera Administrative Region (Car),Ifugao,2020,48379.0,48756.0,207130.0,48379.0,36737.0,10754.0,682.0,142.0,14.0,1.0,49.0,0.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Ifugao,2020,94.0,97.0,306.0,94.0,47.0,31.0,9.0,4.0,3.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Ifugao,2020,25.0,25.0,108.0,25.0,12.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Ifugao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Ifugao,2020,122.0,122.0,496.0,122.0,57.0,47.0,12.0,4.0,0.0,0.0,2.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Ifugao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Ifugao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Ifugao,2020,75.0,75.0,290.0,75.0,23.0,4.0,24.0,17.0,6.0,0.0,1.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Ifugao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Cordillera Administrative Region (Car),Ifugao,2020,48063.0,48437.0,205930.0,48063.0,36598.0,10669.0,636.0,114.0,0.0,0.0,46.0,0.0
All Types Of Building,Cordillera Administrative Region (Car),Kalinga,2020,47778.0,48077.0,229326.0,47778.0,39315.0,8082.0,362.0,19.0,0.0,0.0,0.0,0.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Kalinga,2020,35.0,35.0,102.0,35.0,8.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Kalinga,2020,20.0,20.0,71.0,20.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Kalinga,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Kalinga,2020,79.0,79.0,318.0,79.0,56.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Kalinga,2020,4.0,4.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Kalinga,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Kalinga,2020,45.0,45.0,138.0,45.0,16.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Kalinga,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Cordillera Administrative Region (Car),Kalinga,2020,47595.0,47894.0,228685.0,47595.0,39221.0,8015.0,340.0,19.0,0.0,0.0,0.0,0.0
