Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
REGION III (CENTRAL LUZON),Zambales,2020,,147677,151166,596640,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Angeles,2020,,90348,96350,387094,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Olongapo,2020,,43788,45367,184326,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Batangas,2020,,574697,610659,2519128,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Cavite,2020,,621682,662914,2674765,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Laguna,2020,,567636,616880,2344690,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,2020,,435565,454656,1836524,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Rizal,2020,,584757,615189,2630844,,,,,,,,,,,,,
REGION IV-A (CALABARZON),City of Lucena,2020,,56203,59035,248125,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,2020,,58344,59612,235506,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,2020,,121610,123182,509252,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,2020,,202737,205282,870578,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,2020,,224346,226333,919415,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,2020,,74119,75828,301307,,,,,,,,,,,,,
MIMAROPA REGION,City of Puerto Princesa,2020,,72916,74831,281170,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,2020,,295035,300866,1330773,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,2020,,136834,138784,607895,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,2020,,425054,434828,1979266,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,2020,,59114,59625,268062,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,2020,,202151,203737,895936,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,2020,,181157,183064,808923,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,2020,,143935,147355,598359,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,2020,,143788,145081,601491,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,2020,,191908,194578,776522,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Guimaras,2020,,46972,47309,187001,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,2020,,482240,488974,1983067,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,2020,,597914,616284,2534953,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),City of Bacolod,2020,,131717,135411,571722,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),City of Iloilo,2020,,90099,95869,422641,,,,,,,,,,,,,
