Region,IncomeGroup,Value,Year
Albay,4th Decile,4208.32,2018
Camarines Norte,5th Decile,1985.51,2018
Camarines Sur,6th Decile,6125.71,2018
Catanduanes,7th Decile,942.96,2018
Masbate,8th Decile,2411.12,2018
Sorsogon,9th Decile,2683.78,2018
REGION VI - WESTERN VISAYAS,All Income Groups,17861.94,2018
Aklan,1st Decile,2458.08,2018
Antique,2nd Decile,1982.71,2018
Capiz,3rd Decile,3125.13,2018
Iloilo (Excluding City of Iloilo),4th Decile,7124.43,2018
City of Iloilo,5th Decile,2538.44,2018
Guimaras,6th Decile,730.83,2018
NEGROS ISLAND REGION,8th Decile,15551.35,2018
Negros Occidental (Excluding City of Bacolod),9th Decile,8226.91,2018
City of Bacolod,10th Decile,2928.96,2018
Negros Oriental,All Income Groups,4293.19,2018
Siquijor,1st Decile,429.89,2018
REGION VII - CENTRAL VISAYAS,3rd Decile,26231.86,2018
Bohol,4th Decile,5001.74,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),5th Decile,11981.44,2018
City of Cebu,6th Decile,5233.1,2018
City of Lapu-Lapu (Opon),7th Decile,2486.04,2018
City of Mandaue ,8th Decile,2449.44,2018
REGION VIII - EASTERN VISAYAS,10th Decile,13613.9,2018
Eastern Samar,All Income Groups,1372.39,2018
Leyte (Excluding City of Tacloban),1st Decile,5265.83,2018
City of Tacloban,2nd Decile,1092.9,2018
Northern Samar,3rd Decile,1883.47,2018
Samar (Western Samar),4th Decile,2402.67,2018
Southern Leyte,5th Decile,1373.35,2018
Biliran,6th Decile,630.91,2018
REGION IX - ZAMBOANGA PENINSULA,8th Decile,11292.64,2018
Zamboanga Del Norte,9th Decile,2785.01,2018
Zamboanga Del Sur (Excluding City of Zamboanga),10th Decile,2588.32,2018
City of Zamboanga,All Income Groups,4191.63,2018
Zamboanga Sibugay,1st Decile,1745.17,2018
Isabela City,2nd Decile,308.07,2018
REGION X - NORTHERN MINDANAO,4th Decile,15954.21,2018
Bukidnon,5th Decile,4366.87,2018
Camiguin,6th Decile,324.61,2018
Lanao Del Norte (Excluding City of Iligan),7th Decile,2181.53,2018
City of Iligan,8th Decile,1395.69,2018
Misamis Occidental,9th Decile,1920.86,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",10th Decile,2921.7,2018
